Date,Open,High,Low,Close*,Adj. close**,Volume
12-Dec-2019,151.65,153.44,151.02,153.24,153.24,"2,46,12,100"
11-Dec-2019,151.54,151.87,150.33,151.70,151.70,"1,88,56,600"
10-Dec-2019,151.29,151.89,150.76,151.13,151.13,"1,64,76,100"
09-Dec-2019,151.07,152.21,150.91,151.36,151.36,"1,66,87,400"
06-Dec-2019,150.99,151.87,150.27,151.75,151.75,"1,64,03,500"
05-Dec-2019,150.05,150.32,149.48,149.93,149.93,"1,78,69,100"
04-Dec-2019,150.14,150.18,149.20,149.85,149.85,"1,75,74,700"
03-Dec-2019,147.49,149.43,146.65,149.31,149.31,"2,40,66,000"
02-Dec-2019,151.81,151.83,148.32,149.55,149.55,"2,74,18,400"
29-Nov-2019,152.10,152.30,151.28,151.38,151.38,"1,19,77,300"
27-Nov-2019,152.33,152.50,151.52,152.32,152.32,"1,51,84,400"
26-Nov-2019,151.36,152.42,151.32,152.03,152.03,"2,46,20,100"
25-Nov-2019,150.00,151.35,149.92,151.23,151.23,"2,24,20,900"
22-Nov-2019,150.07,150.30,148.82,149.59,149.59,"1,59,01,800"
21-Nov-2019,149.40,149.80,148.50,149.48,149.48,"1,85,76,100"
20-Nov-2019,150.31,150.84,148.46,149.62,149.62,"2,56,96,800"
19-Nov-2019,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend
19-Nov-2019,150.88,151.33,150.20,150.39,149.88,"2,39,35,700"
18-Nov-2019,150.07,150.55,148.98,150.34,149.83,"2,15,34,000"
15-Nov-2019,148.93,149.99,148.27,149.97,149.46,"2,34,85,700"
14-Nov-2019,147.02,148.41,147.00,148.06,147.56,"1,97,29,800"
13-Nov-2019,146.74,147.46,146.28,147.31,146.81,"1,69,19,200"
12-Nov-2019,146.28,147.57,146.06,147.07,146.57,"1,86,41,600"
11-Nov-2019,145.34,146.42,144.73,146.11,145.61,"1,43,62,600"
08-Nov-2019,143.98,145.99,143.76,145.96,145.47,"1,67,32,700"
07-Nov-2019,143.84,144.88,143.77,144.26,143.77,"1,77,86,700"
06-Nov-2019,144.37,144.52,143.20,144.06,143.57,"1,65,75,800"
05-Nov-2019,144.97,145.02,143.91,144.46,143.97,"1,82,50,200"
04-Nov-2019,144.83,145.00,144.16,144.55,144.06,"1,69,12,000"
01-Nov-2019,144.26,144.42,142.97,143.72,143.23,"3,31,28,400"
31-Oct-2019,144.90,144.93,142.99,143.37,142.88,"2,46,05,100"
30-Oct-2019,143.52,145.00,142.79,144.61,144.12,"1,84,96,600"
29-Oct-2019,144.08,144.50,142.65,142.83,142.35,"2,05,89,500"
28-Oct-2019,144.40,145.67,143.51,144.19,143.70,"3,52,80,100"
25-Oct-2019,139.34,141.14,139.20,140.73,140.25,"2,59,59,700"
24-Oct-2019,139.39,140.42,138.67,139.94,139.47,"3,70,29,300"
23-Oct-2019,136.88,137.45,135.61,137.24,136.77,"2,98,44,600"
22-Oct-2019,138.97,140.01,136.26,136.37,135.91,"2,74,31,000"
21-Oct-2019,138.45,138.50,137.01,138.43,137.96,"2,00,78,200"
18-Oct-2019,139.76,140.00,136.56,137.41,136.94,"3,22,73,500"
17-Oct-2019,140.95,141.42,139.02,139.69,139.22,"2,14,60,600"
16-Oct-2019,140.79,140.99,139.53,140.41,139.93,"2,07,51,600"
15-Oct-2019,140.06,141.79,139.81,141.57,141.09,"1,96,95,700"
14-Oct-2019,139.69,140.29,139.52,139.55,139.08,"1,33,04,300"
11-Oct-2019,140.12,141.03,139.50,139.68,139.21,"2,54,46,000"
10-Oct-2019,138.49,139.67,138.25,139.10,138.63,"1,76,54,600"
09-Oct-2019,137.46,138.70,136.97,138.24,137.77,"1,97,49,900"
08-Oct-2019,137.08,137.76,135.62,135.67,135.21,"2,55,50,500"
07-Oct-2019,137.14,138.18,137.02,137.12,136.65,"1,53,03,700"
04-Oct-2019,136.75,138.25,136.42,138.12,137.65,"2,28,97,700"
03-Oct-2019,134.95,136.75,133.22,136.28,135.82,"2,41,32,900"
02-Oct-2019,136.25,136.37,133.58,134.65,134.19,"3,05,21,700"
01-Oct-2019,139.66,140.25,137.00,137.07,136.61,"2,14,66,600"
30-Sep-2019,138.05,139.22,137.78,139.03,138.56,"1,72,80,900"
27-Sep-2019,140.15,140.36,136.65,137.73,137.26,"2,24,77,700"
26-Sep-2019,139.44,140.18,138.44,139.54,139.07,"1,74,56,600"
25-Sep-2019,137.50,139.96,136.03,139.36,138.89,"2,13,82,000"
24-Sep-2019,140.36,140.69,136.88,137.38,136.91,"2,97,73,200"
23-Sep-2019,139.23,139.63,138.44,139.14,138.67,"1,71,39,300"
20-Sep-2019,141.01,141.65,138.25,139.44,138.97,"3,91,67,300"
19-Sep-2019,140.30,142.37,140.07,141.07,140.59,"3,57,72,100"
18-Sep-2019,137.36,138.67,136.53,138.52,138.05,"2,39,82,100"
17-Sep-2019,136.96,137.52,136.43,137.39,136.92,"1,78,14,200"
16-Sep-2019,135.83,136.70,135.66,136.33,135.87,"1,67,31,400"
13-Sep-2019,137.78,138.06,136.57,137.32,136.85,"2,33,63,100"
12-Sep-2019,137.85,138.42,136.87,137.52,137.05,"2,70,10,000"
11-Sep-2019,135.91,136.27,135.09,136.12,135.66,"2,47,26,100"
10-Sep-2019,136.80,136.89,134.51,136.08,135.62,"2,89,03,400"
09-Sep-2019,139.59,139.75,136.46,137.52,137.05,"2,57,73,900"
06-Sep-2019,140.03,140.18,138.20,139.10,138.63,"2,08,24,500"
05-Sep-2019,139.11,140.38,138.76,140.05,139.58,"2,61,01,800"
04-Sep-2019,137.30,137.69,136.48,137.63,137.16,"1,79,95,900"
03-Sep-2019,136.61,137.20,135.70,136.04,135.58,"1,88,69,300"
30-Aug-2019,139.15,139.18,136.27,137.86,137.39,"2,39,40,100"
29-Aug-2019,137.25,138.44,136.91,138.12,137.65,"2,01,68,700"
28-Aug-2019,134.88,135.76,133.55,135.56,135.10,"1,73,93,300"
27-Aug-2019,136.39,136.72,134.66,135.74,135.28,"2,31,02,100"
26-Aug-2019,134.99,135.56,133.90,135.45,134.99,"2,03,12,600"
23-Aug-2019,137.19,138.35,132.80,133.39,132.94,"3,85,08,600"
22-Aug-2019,138.66,139.20,136.29,137.78,137.31,"1,86,97,000"
